iter	Passed	Remaining
0	340	680577
1	674	673585
2	948	631539
3	1272	634794
4	1617	645566
5	1967	653926
6	2267	645453
7	2651	660229
8	2903	642361
9	3142	625446
10	3476	628640
11	3822	633285
12	4209	643401
13	4511	639986
14	4831	639403
15	5261	652437
16	5610	654443
17	5889	648541
18	6176	644029
19	6547	648178
20	6899	650149
21	7213	648518
22	7519	646308
23	7902	650605
24	8213	648833
25	8470	643099
26	8745	639052
27	9098	640770
28	9431	641044
29	9803	643788
30	10177	646421
31	10565	649757
32	10921	651004
33	11234	649595
34	11569	649556
35	11873	647749
36	12236	649187
37	12643	652807
38	13010	654183
39	13402	656708
40	13751	657068
41	14105	657576
42	14426	656551
43	14752	655818
44	14978	650732
45	15352	652165
46	15637	649774
47	16006	650940
48	16295	648813
49	16664	649930
50	17032	650926
51	17369	650692
52	17762	652511
53	18096	652138
54	18453	652586
55	18792	652377
56	19070	650064
57	19352	647986
58	19715	648591
59	20024	647462
60	20358	647131
61	20714	647500
62	21106	648955
63	21400	647353
64	21749	647466
65	22039	645822
66	22365	645273
67	22688	644608
68	23037	644706
69	23406	645342
70	23791	646387
71	24065	644421
72	24399	644082
73	24775	644843
74	25151	645550
75	25522	646112
76	25858	645801
77	26197	645540
78	26530	645129
79	26770	642489
80	27146	643143
81	27480	642768
82	27783	641708
83	28116	641316
84	28500	642100
85	28766	640232
86	29037	638481
87	29400	638799
88	29755	638896
89	30088	638535
90	30426	638285
91	30786	638489
92	31062	636946
93	31386	636414
94	31763	636943
95	32094	636542
96	32282	633340
97	32576	632243
98	32834	630491
99	33178	630390
100	33469	629292
101	33803	629009
102	34208	630028
103	34557	630011
104	34941	630607
105	35284	630456
106	35657	630831
107	36005	630761
108	36317	630055
109	36651	629741
110	36831	626799
111	37173	626631
112	37572	627426
113	37969	628159
114	38224	626553
115	38623	627304
116	38989	627494
117	39335	627366
118	39667	627013
119	40017	626933
120	40368	626878
121	40667	626014
122	40911	624316
123	41225	623696
124	41585	623785
125	41873	622784
126	42075	620533
127	42354	619437
128	42749	620029
129	43159	620829
130	43440	619770
131	43813	620032
132	44074	618695
133	44449	618979
134	44777	618596
135	45058	617565
136	45439	617916
137	45696	616578
138	46086	617023
139	46412	616628
140	46749	616365
141	47046	615578
142	47359	615006
143	47684	614594
144	47953	613474
145	48216	612278
146	48499	611359
147	48919	612151
148	49327	612783
149	49628	612080
150	49904	611076
151	50207	610413
152	50536	610072
153	50835	609370
154	51197	609414
155	51528	609091
156	51877	608984
157	52198	608540
158	52599	609025
159	52989	609377
160	53267	608436
161	53571	607809
162	53839	606772
163	54246	607293
164	54529	606431
165	54849	605989
166	55195	605824
167	55523	605471
168	55841	604999
169	56200	604986
170	56524	604583
171	56927	605021
172	57210	604180
173	57515	603587
174	57774	602508
175	58089	602016
176	58406	601555
177	58736	601220
178	59108	601320
179	59455	601160
180	59760	600578
181	60173	601068
182	60457	600276
183	60784	599913
184	61157	600000
185	61419	599003
186	61736	598550
187	61991	597495
188	62377	597702
189	62779	598057
190	63132	597944
191	63507	598030
192	63900	598276
193	64246	598093
194	64559	597587
195	64794	596374
196	65161	596374
197	65479	595927
198	65829	595776
199	66175	595575
200	66512	595305
201	66737	594027
202	66987	592986
