feature,importance
cityid_age_cate_2_ctr,3837830.469936371
mobile_type_age_gender_cate_2_ctr,2031928.3055648804
cityid_level_cate_2_ctr,1434180.3893947601
cate_2,639796.9727859497
mobile_type,610620.8070068359
cityid_mobile_type_ctr,502960.8012943268
cityid_bucket,493331.9409675598
user_displayed_item_num_is_missing,247375.3287715912
cityid,239287.36068344116
user_displayed_item_num,225068.60090255737
cross_mobile_os_age_encoded,198042.55000686646
loc_cityid,110053.45866775513
dtype,107463.41171264648
cityid_cate_2_ctr,88448.71830368042
cross_level_age_encoded,87287.93113708496
mobile_os,74167.11083984375
cityid_age_cate_3_ctr,66610.7049999237
cate_3,49074.52135848999
mobile_type_age_gender_cate_3_ctr,44223.0571937561
distance,27230.64421081543
mobile_type_age_cate_2_ctr,15880.765075683594
item_ave_price,14639.137599945068
itemid_ctr,13079.374200820923
age_cate_2_ctr,10815.196287155151
cross_age_gender_married_encoded,9213.900985717773
cross_level_job_encoded,7844.6929721832275
cate_2_ctr,7262.471939086914
cross_level_gender_encoded,6728.369194030762
is_same_city,6254.398487091064
cate_2_mobile_os_ctr,5280.001750946045
hour,4911.013977050781
level_mobile_type_ctr,4637.59549331665
itemid_click_count_60d,4235.374614715576
online_days,3212.859218597412
price,3082.8514976501465
level_cate_1_ctr,2876.7666358947754
user_home_dis,2824.2841053009033
level_cate_2_ctr,2118.8569946289062
cate_3_ctr,1202.4719848632812
time_slot,1061.1785011291504
age_gender_cate_3_ctr,545.6827011108398
mobile_type_age_cate_3_ctr,536.4307060241699
age_gender_married_cate_2_ctr,533.4909133911133
age_cate_3_ctr,444.65399169921875
age_gender_cate_2_ctr,440.0759048461914
gender_cate_2_ctr,335.56320571899414
mobile_type_age_cate_1_ctr,293.1059875488281
cityid_cate_3_ctr,285.4772071838379
cross_age_gender_encoded,210.53399658203125
weekday,169.5313014984131
gender_cate_3_ctr,128.94390106201172
hour_sin,128.94200134277344
job_cate_2_ctr,128.16609954833984
day_of_month,106.74530220031738
weather,97.6677017211914
cityid_age_cate_1_ctr,60.253700256347656
user_work_dis,23.245100021362305
cross_age_married_encoded,0.0
mobile_type_age_gender_cate_1_ctr,0.0
month_cate_2_ctr,0.0
job,0.0
age_gender_married_cate_3_ctr,0.0
age_gender_married_cate_1_ctr,0.0
age_gender_cate_1_ctr,0.0
cate_1,0.0
hour_cos,0.0
